DATEPRD,WELL_BORE_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,WI1,WI2
4/26/2014,NO 15/9-F-1 C,24,247.1990521,108.0520302,162.4222417,17.18937595,49.84450229,84.77681042,65.72369375,56.14790646,1345.78,6499.58,5523.88
4/27/2014,NO 15/9-F-1 C,24,240.7364169,108.053804,159.8990198,17.07145132,50.29698188,80.83739708,66.93373229,52.20174708,1349.56,6968.38,5790.59
4/28/2014,NO 15/9-F-1 C,24,235.0209315,108.0416365,157.68322,17.07658952,50.73587854,77.33771146,67.84834792,48.70758354,1345.61,7116.85,5838.53
4/29/2014,NO 15/9-F-1 C,24,232.7437104,107.9878069,156.7948931,17.19555816,50.11391979,75.94881729,65.70691917,47.37571458,1279.46,7468.20,5755.03
4/30/2014,NO 15/9-F-1 C,24,233.2977779,107.893239,157.179385,17.22963825,48.92679021,76.11839292,62.79564396,47.61060354,1225.62,7524.98,5743.78
5/1/2014,NO 15/9-F-1 C,24,231.0888975,107.8769223,156.3989777,17.45858721,48.93862896,74.68991979,62.37683438,46.19584333,1212.9,7672.15,5721.58
5/2/2014,NO 15/9-F-1 C,24,231.4190052,107.8168792,156.6902379,17.49998115,48.30370458,74.72876729,60.74731563,46.15029979,1074.04,7674.80,5718.78
5/3/2014,NO 15/9-F-1 C,24,230.7655452,107.7954671,156.6059667,17.60112103,48.17349875,74.15957854,60.62793438,45.73272292,1044.17,7836.58,5669.66
5/4/2014,NO 15/9-F-1 C,24,230.5958319,107.7643154,156.6876044,17.60667781,47.46608792,73.9082275,58.27902167,45.491345,970.2,7986.12,5656.96
5/5/2014,NO 15/9-F-1 C,24,229.4236769,107.7797317,156.4292629,17.45668371,47.84001958,72.99441396,54.9047225,44.54851,946.12,8331.10,5519.91
5/6/2014,NO 15/9-F-1 C,24,225.9024775,107.8602202,154.9508602,17.58890152,49.00558229,70.95161729,58.88281146,42.44995396,1002.83,8681.17,5506.50
5/7/2014,NO 15/9-F-1 C,24,225.7683488,107.8381654,155.0585358,17.57593852,47.92039958,70.70981292,57.42564229,42.04893854,925.31,8436.02,5553.70
5/8/2014,NO 15/9-F-1 C,24,225.6869227,107.8210481,155.1419023,17.6492441,47.29694771,70.54502042,57.65595813,41.15918896,913.86,4928.28,3407.09
5/9/2014,NO 15/9-F-1 C,13.83334,227.7978385,107.5994552,156.852217,17.17712796,29.13358708,70.94562144,55.95530239,41.74523021,176.8,0.00,0.00
5/10/2014,NO 15/9-F-1 C,24,226.0609148,107.68369,155.1649715,17.68436706,48.13438479,70.89594333,57.37377854,41.90457979,944.19,0.00,0.00
5/11/2014,NO 15/9-F-1 C,24,225.0966854,107.8364519,155.1616188,17.62024305,47.49388729,69.93506667,58.02433354,41.48348958,823.41,0.00,0.00
5/12/2014,NO 15/9-F-1 C,24,226.0226927,107.7716665,155.7965058,17.67300723,46.93359,70.22618688,56.88541625,41.80654479,769.01,0.03,0.00
5/13/2014,NO 15/9-F-1 C,24,226.9049951,107.7174732,156.5767672,17.55115391,46.33519896,70.32822792,54.25530875,41.925575,740.8,0.00,0.00
5/14/2014,NO 15/9-F-1 C,24,225.5762498,107.7414348,156.2037677,17.59347608,45.16208958,69.37248208,54.99535708,40.98107625,713.24,2052.00,3243.00
5/15/2014,NO 15/9-F-1 C,24,225.892599,107.7093587,156.8256413,17.2340001,46.31644396,69.06695771,48.59812458,40.65059896,743.83,3118.00,5049.00
5/16/2014,NO 15/9-F-1 C,24,225.7007979,107.7102342,157.1079439,17.22722264,46.34614208,68.59285396,48.37775479,40.13814,736.09,3068.00,5034.00
5/17/2014,NO 15/9-F-1 C,24,223.6025104,107.7776923,156.3464044,17.34712811,47.08721125,67.25610604,53.92077354,38.83985208,782.88,3013.00,5150.00
5/18/2014,NO 15/9-F-1 C,24,220.1019623,107.8890296,154.6951013,17.22025574,47.76980688,65.40686104,53.83151333,36.99008688,834.68,3065.00,5229.00
5/19/2014,NO 15/9-F-1 C,24,220.4904389,107.8604229,155.1761033,17.2698355,47.13594875,65.31433563,55.75360792,36.90605083,788.8,3117.00,5157.00
5/20/2014,NO 15/9-F-1 C,24,220.1538669,107.8586483,155.2375104,17.2561558,47.14246875,64.91635646,55.62812438,36.50938479,783.06,3122.98,5133.46
5/21/2014,NO 15/9-F-1 C,24,220.065894,107.8514819,155.3745823,17.20624708,46.52459083,64.69131167,52.23639667,36.28085813,743.77,4245.59,5513.36
5/22/2014,NO 15/9-F-1 C,24,219.9826219,107.8523675,155.5467583,17.2225824,46.2889975,64.43586354,53.66113229,36.01890375,735.41,8628.62,7682.85
