,DATEPRD,WELL_BORE_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
1,4/26/2014,NO 15/9-F-1 C,24,247.1990521,108.0520302,162.4222417,17.22359364,49.84450229,84.77681042,65.72369375,56.14790646,1345.78,192602.19,0,NA,production,OP
2,4/27/2014,NO 15/9-F-1 C,24,240.7364169,108.053804,159.8990198,17.27156804,50.29698188,80.83739708,66.93373229,52.20174708,1349.56,194496.27,0,NA,production,OP
3,4/28/2014,NO 15/9-F-1 C,24,235.0209315,108.0416365,157.68322,17.20850995,50.73587854,77.33771146,67.84834792,48.70758354,1345.61,192899.71,0,NA,production,OP
4,4/29/2014,NO 15/9-F-1 C,24,232.7437104,107.9878069,156.7948931,17.18916041,50.11391979,75.94881729,65.70691917,47.37571458,1279.46,184900.31,0,NA,production,OP
5,4/30/2014,NO 15/9-F-1 C,24,233.2977779,107.893239,157.179385,17.18616958,48.92679021,76.11839292,62.79564396,47.61060354,1225.62,177107.86,0,NA,production,OP
6,5/1/2014,NO 15/9-F-1 C,24,231.0888975,107.8769223,156.3989777,17.42940865,48.93862896,74.68991979,62.37683438,46.19584333,1212.9,174608.88,0,NA,production,OP
7,5/2/2014,NO 15/9-F-1 C,24,231.4190052,107.8168792,156.6902379,17.47002102,48.30370458,74.72876729,60.74731563,46.15029979,1074.04,154870.67,0,NA,production,OP
8,5/3/2014,NO 15/9-F-1 C,24,230.7655452,107.7954671,156.6059667,17.58724503,48.17349875,74.15957854,60.62793438,45.73272292,1044.17,147929.93,0,NA,production,OP
9,5/4/2014,NO 15/9-F-1 C,24,230.5958319,107.7643154,156.6876044,17.62893715,47.46608792,73.9082275,58.27902167,45.491345,970.2,139378.45,0,NA,production,OP
10,5/5/2014,NO 15/9-F-1 C,24,229.4236769,107.7797317,156.4292629,17.53243681,47.84001958,72.99441396,54.9047225,44.54851,946.12,136980.49,0,NA,production,OP
11,5/6/2014,NO 15/9-F-1 C,24,225.9024775,107.8602202,154.9508602,17.77698681,49.00558229,70.95161729,58.88281146,42.44995396,1002.83,144950.15,0,NA,production,OP
12,5/7/2014,NO 15/9-F-1 C,24,225.7683488,107.8381654,155.0585358,17.76782318,47.92039958,70.70981292,57.42564229,42.04893854,925.31,135000.24,0,NA,production,OP
13,5/8/2014,NO 15/9-F-1 C,24,225.6869227,107.8210481,155.1419023,17.86182444,47.29694771,70.54502042,57.65595813,41.15918896,913.86,127564.51,0,NA,production,OP
14,5/9/2014,NO 15/9-F-1 C,13.83334,227.7978385,107.5994552,156.852217,17.4783565,29.13358708,70.94562144,55.95530239,41.74523021,176.8,24322.7,0,NA,production,OP
15,5/10/2014,NO 15/9-F-1 C,24,226.0609148,107.68369,155.1649715,17.91319812,48.13438479,70.89594333,57.37377854,41.90457979,944.19,52162.58,0,NA,production,OP
16,5/11/2014,NO 15/9-F-1 C,24,225.0966854,107.8364519,155.1616188,17.83415384,47.49388729,69.93506667,58.02433354,41.48348958,823.41,117731.72,0,NA,production,OP
17,5/12/2014,NO 15/9-F-1 C,24,226.0226927,107.7716665,155.7965058,17.86133343,46.93359,70.22618688,56.88541625,41.80654479,769.01,111238.01,0,NA,production,OP
18,5/13/2014,NO 15/9-F-1 C,24,226.9049951,107.7174732,156.5767672,17.68085634,46.33519896,70.32822792,54.25530875,41.925575,740.8,107144.4,0,NA,production,OP
19,5/14/2014,NO 15/9-F-1 C,24,225.5762498,107.7414348,156.2037677,17.76382421,45.16208958,69.37248208,54.99535708,40.98107625,713.24,102880.55,0,NA,production,OP
20,5/15/2014,NO 15/9-F-1 C,24,225.892599,107.7093587,156.8256413,17.30778608,46.31644396,69.06695771,48.59812458,40.65059896,743.83,106745.44,0,NA,production,OP
21,5/16/2014,NO 15/9-F-1 C,24,225.7007979,107.7102342,157.1079439,17.29819076,46.34614208,68.59285396,48.37775479,40.13814,736.09,104864.02,0,NA,production,OP
22,5/17/2014,NO 15/9-F-1 C,24,223.6025104,107.7776923,156.3464044,17.46403057,47.08721125,67.25610604,53.92077354,38.83985208,782.88,110078.32,0,NA,production,OP
23,5/18/2014,NO 15/9-F-1 C,24,220.1019623,107.8890296,154.6951013,17.31077935,47.76980688,65.40686104,53.83151333,36.99008688,834.68,117387.58,0,NA,production,OP
24,5/19/2014,NO 15/9-F-1 C,24,220.4904389,107.8604229,155.1761033,17.38465448,47.13594875,65.31433563,55.75360792,36.90605083,788.8,109517.37,0,NA,production,OP
25,5/20/2014,NO 15/9-F-1 C,24,220.1538669,107.8586483,155.2375104,17.36383391,47.14246875,64.91635646,55.62812438,36.50938479,783.06,109362.2,0,NA,production,OP
26,5/21/2014,NO 15/9-F-1 C,24,220.065894,107.8514819,155.3745823,17.28400981,46.52459083,64.69131167,52.23639667,36.28085813,743.77,104993.12,0,NA,production,OP
27,5/22/2014,NO 15/9-F-1 C,24,219.9826219,107.8523675,155.5467583,17.30905992,46.2889975,64.43586354,53.66113229,36.01890375,735.41,107115.77,0,NA,production,OP
28,5/23/2014,NO 15/9-F-1 C,24,219.862926,107.8672185,155.5720744,17.24627806,46.28422688,64.29085167,49.05298021,35.87307688,742.89,108079.03,93.31,NA,production,OP
29,5/24/2014,NO 15/9-F-1 C,24,219.9229906,107.88298,155.7527385,17.3246646,46.24215792,64.17025208,54.6906875,35.75070979,746.54,108387.02,100.42,NA,production,OP
30,5/25/2014,NO 15/9-F-1 C,24,219.9771025,107.9027877,155.9044442,17.33476194,46.26167729,64.07265833,55.23116438,35.67131292,750.57,105809.71,101.01,NA,production,OP
31,5/26/2014,NO 15/9-F-1 C,24,219.9737753,107.9207115,156.0433947,17.32623136,46.26510667,63.93038063,55.10252792,35.52891688,727.26,106514.13,86.62,NA,production,OP
32,5/27/2014,NO 15/9-F-1 C,24,219.9804752,107.9364623,156.2432608,17.32678898,46.22633333,63.73721438,55.31121938,35.33483833,715.5,105800.29,91.08,NA,production,OP
33,5/28/2014,NO 15/9-F-1 C,24,219.2666673,107.4447102,155.7155754,17.41702913,46.21500313,63.55109188,55.50823313,35.15549521,695.01,102249.56,76.96,NA,production,OP
34,5/29/2014,NO 15/9-F-1 C,24,220.0071804,107.962041,156.5494629,17.34184414,46.21505771,63.4577175,56.17083688,35.05228625,698.77,102823.5,77.13,NA,production,OP
35,5/30/2014,NO 15/9-F-1 C,24,220.0002602,107.9736133,156.6649654,17.32959092,46.23157229,63.33529479,55.85169313,34.92387833,704.08,103977.99,77.96,NA,production,OP
36,5/31/2014,NO 15/9-F-1 C,24,219.9935135,107.9850456,156.7834871,17.32022635,46.2074025,63.21002646,55.59603083,34.79286458,715.93,105761.32,78.99,NA,production,OP
37,6/1/2014,NO 15/9-F-1 C,24,220.0057371,107.9938465,156.8641125,17.32667298,46.264785,63.14162458,55.96349938,34.72635521,724.21,107035.76,80.08,NA,production,OP
