"","DATEPRD","WELL_BORE_CODE","ON_STREAM_HRS","AVG_DOWNHOLE_PRESSURE","AVG_DOWNHOLE_TEMPERATURE","AVG_DP_TUBING","AVG_ANNULUS_PRESS","AVG_CHOKE_SIZE_P","AVG_WHP_P","AVG_WHT_P","DP_CHOKE_SIZE","BORE_OIL_VOL","class","WI1","WI2"
"1",2008-03-09,"NO 15/9-F-12 H",24,282.386067083333,105.904612083333,176.456565208333,8.581735625,31.1591122916667,105.929501875,73.1384385416667,71.5622208333333,2996.83,4,-0.001,-0.001
"2",2008-03-10,"NO 15/9-F-12 H",24,281.522257916667,105.906404791667,176.232611875,9.01177645833333,31.3050129166667,105.289646041667,73.336445625,71.062263125,3021.4,2,-0.001,-0.001
"3",2008-03-11,"NO 15/9-F-12 H",24,280.894438958333,105.907514583333,176.083680625,8.93314604166667,31.3700297916667,104.810758333333,73.9705660416667,71.2834064583333,3010.4,9,-0.001,-0.001
"4",2008-03-12,"NO 15/9-F-12 H",23.775,281.084912618297,105.895057981073,176.0320423449,6.69535807570978,29.8586704166667,105.052870273396,73.8896192849632,71.8680160988433,2794.44,9,-0.001,-0.001
"5",2008-03-13,"NO 15/9-F-12 H",24,279.488200416667,105.916192083333,176.046879166667,8.6407475,31.6425447916667,103.44132125,75.3086577083333,70.45069875,3058.89,5,-0.001,-0.001
"6",2008-03-14,"NO 15/9-F-12 H",23.83334,279.111782779715,105.911560155358,175.892339345656,7.8244376158692,30.926781875,103.219443434059,75.17220465654,70.3930630024663,2964.81,8,-0.001,-0.001
"7",2008-03-15,"NO 15/9-F-12 H",24,277.951101458333,105.91543125,175.81110125,8.8183275,32.0741241666667,102.140000208333,76.2621691666667,69.867086875,3131.37,4,-0.001,0
"8",2008-03-16,"NO 15/9-F-12 H",24,277.292522083333,105.917140416667,175.553445,8.410489375,32.0516660416667,101.739077083333,76.0038754166667,69.8133435416667,3135.37,2,-0.001,-0.001
"9",2008-03-17,"NO 15/9-F-12 H",24,276.564427291667,105.920801041667,175.265359583333,8.00629458333333,32.0736164583333,101.299067708333,75.2452735416667,69.3217891666667,3143.37,8,-0.001,-0.001
"10",2008-03-18,"NO 15/9-F-12 H",24,275.982763333333,105.918850833333,175.071950416667,7.753214375,32.0464395833333,100.910812916667,75.37564625,69.0736127083333,3132.37,6,-0.001,-0.001
"11",2008-03-19,"NO 15/9-F-12 H",24,275.36289,105.917952708333,174.90306375,7.47589979166667,32.0452197916667,100.45982625,75.592860625,69.104665625,3139.62,9,-0.001,-0.001
"12",2008-03-20,"NO 15/9-F-12 H",24,274.792694166667,105.915294583333,174.668426875,6.96809270833333,32.0124927083333,100.124267291667,74.6777897916667,68.9177558333333,3156.67,5,-0.001,-0.001
"13",2008-03-21,"NO 15/9-F-12 H",24,274.072131458333,105.915962916667,174.498398333333,6.69618354166667,32.0872497916667,99.573733125,75.3560914583333,68.2533085416667,3192.14,1,-0.001,-0.001
"14",2008-03-22,"NO 15/9-F-12 H",24,273.456107291667,105.915465833333,174.28361125,6.46210791666667,32.0783920833333,99.1724960416667,75.3187620833333,67.7946014583333,3172.12,8,-0.001,-0.001
"15",2008-03-23,"NO 15/9-F-12 H",24,272.880779166667,105.912821666667,174.087919375,6.28779104166667,32.0607033333333,98.7928597916667,75.35283,67.4052364583333,3160.26,9,-0.001,-0.001
"16",2008-03-24,"NO 15/9-F-12 H",24,272.236756666667,105.912785833333,173.83483,4.95667083333333,32.1283939583333,98.4019266666667,74.8119102083333,67.0113322916667,3153.35,1,-0.001,-0.001
"17",2008-03-25,"NO 15/9-F-12 H",24,271.6835775,105.910075,173.644271875,14.9064441666667,32.0420977083333,98.039305625,74.9592910416667,66.6606552083333,3130.58,3,-0.001,-0.001
"18",2008-03-26,"NO 15/9-F-12 H",7.475,271.418538883465,105.907494956013,173.52183289901,14.7944546819264,30.925418125,97.8967059844549,75.2595730027157,66.5784964550502,960.26,10,-0.001,-0.001
"19",2008-03-29,"NO 15/9-F-12 H",24,271.467940851064,105.870375744681,174.191069787234,6.74392319148936,32,97.2768710638298,69.2622510416667,65.7424006382979,3137.26,9,-0.001,-0.001
"20",2008-03-30,"NO 15/9-F-12 H",10.975,270.742382196364,105.902395133986,173.372949822342,10.9810934976948,30.6826086956522,97.3694323740228,73.1055921859954,66.019199784328,1430.95,9,-0.001,0
"21",2008-03-31,"NO 15/9-F-12 H",14.025,271.557015465819,105.861700877287,173.435491095224,7.14554121778928,31,98.1215243705952,70.4515359368059,67.129073057146,1950.58,1,-0.001,-0.001
"22",2008-04-01,"NO 15/9-F-12 H",24,270.359618958333,105.889147708333,172.928234791667,11.469455,29.812026875,97.4313841666667,73.5371270833333,66.3862272916667,3060.6,1,-0.001,-0.001
"23",2008-04-02,"NO 15/9-F-12 H",24,269.644981458333,105.8938425,172.986491041667,12.7497285416667,31.8183804166667,96.6584904166667,75.8101510416667,65.5951935416667,3053.67,4,-0.001,-0.001
"24",2008-04-03,"NO 15/9-F-12 H",24,268.861676875,105.897303333333,172.745144583333,13.189178125,32.0009541666667,96.1165322916667,75.9211225,65.052414375,3103.12,8,-0.001,-0.001
"25",2008-04-04,"NO 15/9-F-12 H",24,268.1804975,105.897053958333,172.489911458333,13.2729475,32.0811977083333,95.6905860416667,75.217224375,64.618748125,3110.68,7,-0.001,-0.001
"26",2008-04-05,"NO 15/9-F-12 H",24,267.456426875,105.894669375,172.316157291667,13.2661472916667,32.20087375,95.1402695833333,75.4611935416667,63.91880625,3303.3,1,-0.001,-0.001
"27",2008-04-06,"NO 15/9-F-12 H",24,266.855200416667,105.886590416667,172.066815625,13.2614533333333,32.2108002083333,94.7883847916667,75.40590875,63.12111875,3028.41,4,-0.001,-0.001
"28",2008-04-07,"NO 15/9-F-12 H",24,266.476393333333,105.871880416667,171.736535416667,13.1486747916667,32.033210625,94.7398579166667,75.2697689583333,63.1700935416667,2998.8,5,-0.001,-0.001
"29",2008-04-08,"NO 15/9-F-12 H",24,265.899874166667,105.860690833333,171.35568375,13.0644047916667,32.04783125,94.5441904166667,74.6293045833333,62.8248722916667,3054.12,5,-0.001,-0.001
"30",2008-04-09,"NO 15/9-F-12 H",24,265.395130416667,105.853111041667,171.177663333333,12.9857889583333,32.0000272916667,94.2174670833333,74.83526625,62.790674375,3025.8,1,-0.001,-0.001
"31",2008-04-10,"NO 15/9-F-12 H",24,264.920702978723,105.846484255319,171.108905531915,12.916430212766,31.2518583333333,93.8117974468085,75.4127040425532,62.2472410638298,3003.22,2,-0.001,-0.001
"32",2008-04-11,"NO 15/9-F-12 H",24,264.33433,105.840110625,170.712073541667,12.7162935416667,31.944148125,93.6222564583333,74.1977654166667,62.0697670833333,3015.97,10,-0.001,-0.001
"33",2008-04-12,"NO 15/9-F-12 H",12.975,264.008220242289,105.837771499946,170.859062973094,12.5485770198459,30.8850448148148,93.1491572691946,73.8949564249403,61.6560202905588,1615.37,9,-0.001,-0.001
"34",2008-04-14,"NO 15/9-F-12 H",21.26,265.611295416667,105.6165925,181.727347708333,6.66009520833333,28.7635004166667,83.8839477083333,64.0205879166667,56.13802375,2578.63,8,-0.001,-0.001
"35",2008-04-15,"NO 15/9-F-12 H",20.55,263.676346332986,105.81841322321,170.638948807183,10.5456770448466,32.0605039473684,93.0373975258037,74.1666946999388,61.2840258920808,2494.26,6,-0.001,-0.001
"36",2008-04-16,"NO 15/9-F-12 H",24,263.010126072832,105.646351862891,170.010400022844,11.0301887606885,31.9040784848485,92.9997260499879,74.4635066089871,61.3216409645868,2847.56,9,-0.001,-0.001
"37",2008-04-17,"NO 15/9-F-12 H",9.375,262.977608,105.808794,170.166082266667,11.5437414666667,31.6534757894737,92.8115257333333,74.8706913333333,61.079362,1120.57,6,-0.001,-0.001
"38",2008-04-18,"NO 15/9-F-12 H",21.57,263.173711518867,105.785558501571,170.289316141937,7.94042125401692,31.7187431707317,92.8843953769301,72.2804564202005,61.1368873208563,2448.14,7,-0.001,-0.001
"39",2008-04-19,"NO 15/9-F-12 H",22.71203,263.141900784474,105.776607547723,170.120422436088,9.92478416684462,30.0334912765957,93.0214783483863,73.2267499352986,61.7327017599219,2513.65,2,-0.001,-0.001
"40",2008-04-20,"NO 15/9-F-12 H",24,262.170412916667,105.786881666667,169.531886458333,11.18001375,31.4832170833333,92.6385264583333,75.0461858333333,61.0005933333333,2752.75,2,-0.001,-0.001
"41",2008-04-21,"NO 15/9-F-12 H",24,261.610255,105.782627083333,169.28461875,11.2567991666667,31.5197835416667,92.32563625,74.8636191666667,60.6891235416667,2752.3,6,-0.001,-0.001
"42",2008-04-22,"NO 15/9-F-12 H",24,261.114653958333,105.777347291667,168.945766666667,11.1599625,31.483014375,92.1688872916667,74.2499127083333,60.5470925,2737.24,1,-0.001,-0.001
"43",2008-04-23,"NO 15/9-F-12 H",24,260.557935208333,105.77106875,168.697955416667,11.0106345833333,31.4872727083333,91.8599797916667,73.5842495833333,60.253108125,2735.53,5,166.0769025,-0.001
"44",2008-04-24,"NO 15/9-F-12 H",24,260.126581702128,105.769131276596,168.549051914894,10.9072529787234,30.8142541666667,91.577529787234,73.6955357446809,59.9375787234043,2730.33,1,3565.06538854167,-0.001
"45",2008-04-25,"NO 15/9-F-12 H",24,260.523110625,105.781076458333,168.744631458333,10.937146875,31.4989085416667,91.7784791666667,74.2709960416667,60.088869375,2727.65,6,6916.92263770833,-0.001
"46",2008-04-26,"NO 15/9-F-12 H",24,261.141258541667,105.794465416667,168.901403958333,10.9154166666667,31.4124614583333,92.2398545833333,73.4167020833333,60.552660625,2747.01,4,6617.81557421053,-0.001
"47",2008-04-27,"NO 15/9-F-12 H",15.95833,260.41739820245,105.816028996042,169.705848563177,11.6002202701097,31.4897333333333,90.711549639273,75.7583600918893,58.9107856104241,1985.59,9,4507,-0.001
"48",2008-04-30,"NO 15/9-F-12 H",24,261.281551458333,105.779523541667,170.419205208333,7.15137770833333,32.5439679166667,90.86234625,68.9656116666667,58.9168195833333,3011.83,1,6529.80639046512,-0.001
"49",2008-05-01,"NO 15/9-F-12 H",24,260.78862,105.838545416667,170.118785208333,10.6336733333333,33.4343508333333,90.6698347916667,74.2100058333333,58.501581875,3167.59,10,6999.03366083333,-0.001
"50",2008-05-02,"NO 15/9-F-12 H",24,261.179134375,105.852500833333,170.4076225,11.4513095833333,33.3904335416667,90.771511875,75.9069183333333,58.5888029166667,3163.92,9,6760.54320291667,-0.001
"51",2008-05-03,"NO 15/9-F-12 H",24,261.609262916667,105.862652083333,170.54918625,11.8554170833333,33.3737327083333,91.0600766666667,76.329415625,58.8836858333333,3173.19,6,7389.42417020833,-0.001
"52",2008-05-04,"NO 15/9-F-12 H",24,262.088190208333,105.87273,170.717147916667,12.0231322916667,33.37489,91.3710422916667,75.4382164583333,59.1977164583333,3188.85,4,8000,-0.001
"53",2008-05-05,"NO 15/9-F-12 H",24,262.652684375,105.881653333333,170.936755208333,12.2686804166667,33.3092820833333,91.7159291666667,76.3155152083333,59.7537739583333,3186.96,10,6491.986785,-0.001
"54",2008-05-06,"NO 15/9-F-12 H",24,263.043249583333,105.8866975,171.236567291667,12.532499375,33.2214308333333,91.8066822916667,77.0249627083333,60.09477,3176.89,6,7008,-0.001
